id,title,duration,bpm,release_date,rank,album_id,album_title,album_release_date,album_genres,album_label,album_duration,album_nb_fan,album_record_type,artist_id,artist_name,artist_nb_album,artist_nb_fan
6304467,Shabadabada,234,175.9,2000-06-29,475873,577540,CD00,2010-06-07,Pop,Columbia,2922,4139,album,491621,OV7,16,203836
109085614,Don,183,119.84,2008-04-01,585075,11366648,El Templo del Pop,2012-09-07,Pop|Latino,Pelo Music S.A.,4640,5626,album,4996,Miranda!,71,282589
783900,Espacio sideral,222,90.1,2006-07-18,503284,91775,Esta Es Mi Vida,2006-07-18,Pop|Latino,WM Mexico,2628,14133,album,67672,Jesse & Joy,54,1280225
4211243,Inolvidable,223,123.0,2009-08-23,569473,392248,Un Dia Mas (Edicion Especial),2009-08-13,Pop,Columbia,3079,21858,album,4476,Reik,76,2915806
1065541812,Rebelde,212,0.0,2020-09-04,519443,170197682,Rebelde,2005-01-11,Pop,Universal Music Mexico,2223,42616,album,4475,RBD,27,499680
726326,"Te lo agradezco, pero no (feat. Shakira)",273,149.8,2006-11-07,523434,86588,El tren de los momentos,2006-11-07,Pop,WM Spain,2413,10145,album,4479,Alejandro Sanz,88,1414526
2794656,Víveme,236,136.0,2004-12-14,507078,271578,Escucha,2004-10-22,Pop,WM Italy,2499,3511,album,1456,Laura Pausini,117,1061922
3255052,Arrasando,243,132.1,2000-04-13,419182,310492,Arrasando,2000-04-13,Pop,Capitol Latin,2932,9953,album,710,Thalia,88,1489010
15212551,"Suerte (Whenever, Wherever)",194,109.1,2001-11-13,530017,1401302,Laundry Service,2001-11-13,Latino,Epic,2937,66442,album,160,Shakira,71,11697128
84141319,Tú No Eres Para Mi,207,124.91,2009-11-17,435953,8473325,6 Super Hits,2009-11-17,Pop|Latino,National Own,1330,194,ep,80772,Fanny Lu,48,382536
597820,La Playa,247,88.5,2004-05-10,593212,75353,París,2004-05-10,Pop,Sony Music Entertainment,2552,26951,album,1434,La Oreja de Van Gogh,50,816132
2538912,Fotografía,238,170.1,2002-05-21,458644,248769,Un Día Normal,2005-12-13,Latino,Int'l Latin America,2546,7984,album,70,Juanes,109,1624326
6608954,Noviembre Sin Ti,203,133.8,2005-05-24,549847,611040,Reik,2005-03-02,Pop,Columbia,2234,48571,album,4476,Reik,76,2915806
385097421,Gasolina,192,192.3,2004-07-13,26225,691271171,Barrio Fino (Bonus Track Version),2005-02-01,Latino,Craft Latino,4277,4914,album,3839,Daddy Yankee,115,7158873
3366545,Sabes A Chocolate,226,110.0,2007-04-03,469680,320200,"A.B. Quintanilla III Presents Kumbia Kings Greatest Hits ""Album Versions""",2007-04-03,Pop,Capitol Latin,2705,16707,album,4174,Kumbia Kings,7,31933
1065541822,Sólo Quédate En Silencio,217,0.0,2020-09-04,581473,170197682,Rebelde,2005-01-11,Pop,Universal Music Mexico,2223,42616,album,4475,RBD,27,499680
10066252,Ahora Quien,305,130.0,2011-03-08,366465,921156,Dos Clásicos,2011-03-07,Latino,Sony Music Latin,5095,37158,album,112,Marc Anthony,68,2604899
6608950,Qué Vida la Mía,171,98.0,2005-05-24,523416,611040,Reik,2005-03-02,Pop,Columbia,2234,48571,album,4476,Reik,76,2915806
1155001,La Camisa Negra,216,97.0,2006-02-20,856672,123701,Mi Sangre,2004-01-01,Latino,National Own (UC),3859,23087,album,70,Juanes,109,1624326
15404858,Las de la Intuición,220,130.0,2005-06-03,7761,763994091,Fijación Oral Volumen 1,2005-06-03,Pop,Epic,2803,2493,album,160,Shakira,71,11697128
